,FONTES,Família final,NOME PRINCIPAL,NOMES ALTERNATIVOS,SIGLAS,Tem formulário preenchido? (S/N),"Existe?
 (1/0/NE)","Existe no Brasil?
 (1/0/NE)",M/F?,"Possui Mantenedora?
 (S/N/ N/I / N/E)",Fontes,Fundadores M,Fundadores F,COM Hierarquia M,COM hierarquia F,SEM Hierarquia M,SEM Hierarquia F,Santo/M,Santo/F,Nomes dos/das Fundador(es/as),Fontes,"Datas de Aprovação (Constituições, Regras, Dir. Diocesano, Dir. Pontifício, Decretum Laudis)",Fontes,Anos de reformulação das Constituições,Fontes,Situação canônica*,Tipo de Vida*,Data de fundação,Fontes,País de Fundação,Estado de Fundação,Cidade de Fundação,Fontes,Chegada ao Brasil - Ano,Fontes,Chegada ao Brasil - Estado,Chegada ao Brasil - Município,Fontes,Nº de membros do grupo fundador - Religiosos,Nº de membros do grupo fundador - Leigos,Nº de membros do grupo fundador - Não Especificado,Fontes,Período de funcionamento - Casas no Brasil [fontes],Fontes,Período de funcionamento - Casas Fechadas,Fontes,Estados onde está presente,Nº de estados onde está presente,Fontes,Nº de casas no mundo,Fontes,Países onde está presente,Nº de países onde está presente,Fontes,"Membros no Brasil
 (Preferência para informações do AC2015)",Sacerdotes *,Irmãos/ãs *,Postulantes *,Noviços *,Fontes,"Dados Alternativos
(com fontes) *",Membros no mundo (total),Fontes,Organização Hierárquica/ Administrativa - Nomeação?,Organização Hierárquica/ Administrativa - Eleição?,Organização Hierárquica/ Administrativa - Ambos?,"Organização Hierárquica [NOMeação, ELeição, AMBos] *",Publicações de uso Interno,Fontes *,Publicações livres,Fontes *,Total de Publicações *,Obras sobre a Congregação,Total,Número de fontes Manuscritas,Carisma,Fontes,Missão/Fundação,Fontes,Missão/Hoje,Fontes,Motivos da vinda,Fontes,Trabalhos efetivamente assumidos,Fontes,Notas,SEDE NO BRASIL - CIDADE,SEDE NO BRASIL - ESTADO,"SEDE NO BRASIL - É CAPITAL? (0=NÃO, 1=SIM)",Taxa de Reprodução [POSTULANTES+NOVIÇOS/AS] / [SACERDOTES+IRMÃOS],Proporção de membros em formação em relação ao total de membros
283,N/E,N/E,Instituto das Missionárias Leigas de Nossa Senhora,N/A,N/A,N,N/E,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,N/E,N/E,Canadá,N/E,Montreal,?,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
286,"http://www.diocesechapeco.org.br/admin/imagens/file/Jubileu%20Diocesano/Jubileu%20-%20Bispos.doc [1]

http://www.al.sp.gov.br/repositorio/legislacao/decreto/1961/decreto-38602-16.06.1961.html [2]",N/E,Instituto de Auxiliares das Vocações Sacerdotais,N/A,[IAVS],N,N/E,N/E,N/I,N/E,N/E,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,D. José Thurler,1,N/E,N/E,N/E,N/E,N/E,VM,1960,?,Brasil,SP,São Paulo,?,BR,N/A,BR,BR,BR,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,CONGREGAÇÃO BRASILEIRA,N/A,N/E,N/E,,N/E,N/E,0,N/E,N/E
304,"http://casadareconciliacao.com.br/a-casa/ [1]

http://www.paroquiadombosco.org.br/lermais_materias.php?cd_materias=397&friurl=_-Origens-da-Casa-de-Reconciliacao-com-Conego-Jose-Bizon-_ [2]

https://www.atonementfriars.org/ [3]

http://www.vicariatusurbis.org/?page_id=188&ID=545 [4]

http://www.teses.usp.br/teses/disponiveis/8/8138/tde-24072005-133321/pt-br.php [5]",N/E,Frades Franciscanos da Reconciliação,N/A,N/A,N,1,0,M,N/E,N/E,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,Servo de Deus Ir. Paul de Graymoor,3,"1951 {DL}
1960 {DP}",4,N/E,N/E,DP,CLE,1909,3,EUA,Nova Iorque,Graymoor,3,1963,5,GO,Jataí,5,5,0,0,5,N/E,N/E,N/E,N/I,N/A,N/A,N/A,22,4,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,119,4,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,[5],1,N/A,"""Nossos valores: Somos chamados a testemunhar e proclamar o Evangelho do Cristo na Tradição Franciscana da Reconciliação, crendo que Cristãos podem ser e serão unidos. Encorajamos e promovemos o diálogo e compreensão entre todas as fés."" [3]",3,"""Em 1898, com a colaboração da Irmã Episcopal, Lurana White, ele {Pe. Paul Wattson}, ajudou a fundar a Sociedade da Reconciliação, assumindo votos de pobreza Franciscana, obediência e castidade em Greymoor, em Garrison, NY, com a missão de promover a unidade Cristã."" [3] ",3,"""Nossa Missão: Existimos como uma comunidade religiosa Católica para convidar o mundo a unir-se a nós na jornada pela cura e reconciliação. Fazemos isto ao viver, abraçar e nutrir o espírito Franciscano de re-con-ciliação que inclui: A unidade de tudo e; a cura dos feridos e daqueles que perderam seu caminho.
Regojizamo-nos em Deus."" [3]",3,"""'(...) Dom Benedito Coscia, OFM, Americano, da Diocese de Jataí, GO,
participou da reunião anual dos Ministros Gerais das Congregações Religiosas em
Nova York no ano 1960, e pediu ajuda para a sua diocese. Frei Boaventura
{Bonaventure Koelzer} prometeu-lhe enviar alguns Freis em pouco tempo. Um
pouco antes disso, nossa Congregação tinha enviado alguns Freis para abrir uma
missão no Japão, eu {Ir. Leigh Martin} tinha optado por ir para lá. Mas, quando Frei Boaventura fez
um pedido para Freis irem para o Brasil, eu decidi optar ir para o Brasil porque,
sendo descendente Francês com capacidade de falar Francês, eu sabia que aprender
Português seria mais fácil que aprender a falar Japonês'"" [5]",5,"Segundo a fonte {5}, os irmãos trabalharam por um longo período na diocese de Jataí - GO, atendendo às necessidades eclesiásticas e sociais da região; em São Paulo, trabalharam com movimentos em favor da inter-compreensão ecumênica. [5]",5,,N/A,N/A,0,N/E,N/E
374,"http://www.hijasdelossagradoscorazones.org/quienes-somos/historia/origen [1]

http://salesianos.com.br/instituto-das-filhas-dos-sagrados-coracoes-de-jesus-e-de-maria/ [2]

http://isma.org.br/familia-salesiana/ [3]

http://www.hijasdelossagradoscorazones.org/files/informativo3_2013.pdf [4]

http://www.hijasdelossagradoscorazones.org/images/stories/pdf/revistajulio2009.pdf [5]

http://www.vicariatusurbis.org/?page_id=188&ID=1948 [6]

http://www.hijasdelossagradoscorazones.org/presencia/paises [7]",Salesiana,Filhas dos Sagrados Corações de Jesus e Maria,N/A,N/A,N,1,S,F,N/E,N/E,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,Beato D. Luis Variara,1,"1930 {DD}
1953 {DP}",1,N/E,N/E,DP,VM,1905,1,Colômbia,N/A,Água de Dios,1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,"Bolívia, Brasil, Camarões, Colômbia, Equador, Guiné Equatorial, México, Peru, Rep. Dominicana, Venezuela",12,7,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,2009 [1],1 [1],N/A,"""A expressão do carisma salesiano nas palavras VITIMIZAÇÃO indicam a origem, o estilo e a missão de ambas as Filhas dos Sagrados Corações, como membros leigos e sacerdotes do Movimento Secular Variara. Alguns realizam a sua missão educativa pastoral e outra entre crianças, jovens e os doentes, inspirados na experiência espiritual e apostólica do Fundador Beato Variara. 

Irmãs e parceiros, vivem no cotidiano sua experiência de vida religiosa e secular de vitimalidade, assumido com bom humor e otimismo; dispostos a se oferecer continuamente para a salvação da humanidade, eles recebem a alegria, deceções, sofrimentos, triunfos, fracassos, doenças e prosperidade, descobrindo no mistério da Páscoa, o sentido redentor cristão do sofrimento."" [1]",1,"""El Proyecto de la Fundación estaba escondido en el corazón de cada una de las elegidas, quienes por ser enfermas de lepra y sanas hijas de enfermos no eran admitidas en ningún Instituto religioso para realizar sus anhelos de vida consagrada. Cuestionado por la realidad del Lazareto y constatando el don vocacional de las jóvenes Hijas de María, no puede convencerse de que habiéndolas llamado el Señor al estado religioso se vieran privadas de esta gracia, solo por su condición de enfermas."" [1]",1,N/E,N/E,"O Brasil foi um dos paises escolhidos para a instalação para o tratamento da hanseníase (uma das especialidades na área da saúde da congregação) após o mapeamento das incidências da doença feita pela congregação onde 80% dos casos no mundo ocorriam no Brasil e na Índia, conforme consta em sua publicação do ano de 2009 que se encontra no site. [5]",5,"Desempenhamos nossa missão evangelizadora na educação, saúde obras sociais, missões ad gentes e obras educativas. [2]

Atuam na evangelização com oratórios e gestão de paróquias. Além disto executam um trabalho a área da Educação com Centros Educacionais; saúde com centros voltados para a saúde infantil e cuidados de lepra (hanseníase). Trabalho assistêncial com cozinhas comunitárias para indivíduos em situação de rua. [1]

Há, na fonte {4}, uma referência ao hospital São Julião, ao qual a superiora da congregação fez uma visita. A parte brasileira da congregação é parte da província Brasil-Bolívia / Coração de Jesus da congregação. Não há mais referências a isto no site [1].","2, 1, 2001",,N/E,N/E,0,N/E,N/E
441,"https://www.facebook.com/pg/Congrega%C3%A7%C3%A3o-das-Irm%C3%A3s-de-Jesus-Crucificado-Mission%C3%A1rias-Franciscanas-324196667760368/about/ [1]

https://metropolia.org.br/noticias/dom-volodemer-visita-a-comunidade-de-rio-azul/ [2]",N/E,Irmãs de Jesus Crucificado Missionárias FRANCISCANAS,N/A,[IJCMF],N,N/E,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,Curitiba,PR,1,N/E,N/E
451,"http://catholique-angers.cef.fr/Franciscaines-de-Sainte-Marie-des [1]

https://it.wikipedia.org/wiki/Suore_francescane_di_Santa_Maria_degli_Angeli [2]

http://data.bnf.fr/12162700/franciscaines_de_sainte-marie-des-anges/ [3]

http://vieconsacree.com/franciscaines-de-sainte-marie-des-anges/ [4]

http://www.congregation.fr/home/maine-et-loire-diocse-dangers/franciscaines-de-sainte-marie-des-anges-dangers [5]

http://www.persee.fr/doc/abpo_0399-0826_1982_num_89_3_3096 [6]

http://www.persee.fr/doc/abpo_0399-0826_1982_num_89_3_3096 [7]

http://www.rccbrasil.org.br/noticia.php?noticia=2227 [8]

http://diocesepetropolis.com.br/femininas [9]

https://www.arquidiocesejuizdefora.org.br/index.php/2014-08-12-13-34-04/2014-08-12-14-19-27 [10]",Franciscana,Congregação das Irmãs FRANCISCANAS DE SANTA MARIA DOS ANJOS,N/A,[FSMA],N,1,S,F,N/E,N/E,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,"Ir. Jean Chrysostome de Lyon, Me. Marie-Caroline Rurange/Marie-Chrysostome de la Croix",2,"1875 {DL}
1937 {DP}",2,N/E,N/E,DP,VM,1871,1,França,País do Loire,Angers,1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,"MG, RJ",2,"9, 10",69,2,"Brasil, Etiópia, França, Índia, Reino Unido, Suíça",6,2,N/E,N/E,N/E,N/E,N/E,N/E,N/E,416,2,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,[6] [7],2,N/A,"""O Cristo, na Eucaristia, é a fonte e o centro de nossa contemplação e de nossa missão ao redor do mundo.' (const. 3)"" [T] [1]",1,"""Logo após a guerra franco-alemça de 1870, Mons. Freppel, bispo de Angers, 'desejando prover as necessidades dos jovens órfãos filhos de soldados... reuniu certo número de mulheres pias as quais ele confiou a educação cristã e civil das crianças. Havendo respondido com perfeição ao zelo pastoral de seu bispo, ele os erigiu em congregação sob o título de Santa-Maria-dos-Anjos da Terceira-Ordem de S. Francisco de Assis'"" [T] [6] [""Au Lendemain de la guerre (...)""]",6,"""Como Franciscanas, nós somos chamadas a doar e a compartilhar, a receber e a aprender com os outros, sabendo que Deus está presente no nosso mundo em mutação, durante toda nossa vida... na história e nas crenças religiosas em direção das quais nos envia. (Constituições nº 58)"" [T] [1]",1,N/E,N/E,N/E,N/E,,N/I,N/I,0,N/E,N/E
476,"http://www.provinciadorecife.com.br/familia_vicentina.html [1]

http://s-m-r.fr/Rochecorbon/mod.php?id=accueil [2]

http://s-m-r.fr/Rochecorbon/mod.php?id=charisme [3]

http://s-m-r.fr/Rochecorbon/mod.php?id=institut [4]

http://ndlasalette.free.fr/suite.php?page=communautes&bloc=2 [5]",Vicentina,Congregação das Irmãs de MARIA RECONCILIADORA,N/A,[IMR],N,1,1,F,N/E,N/E,0.00,1.00,0.00,0.00,0.00,1.00,N/E,N/E,Me. Maria da Cruz/Marie Toublet,4,1930 {DD},4,N/E,N/E,N/E,VM,1921,4,França,Île-de-France,Paris,4,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,"""Nosso Carisma, é portanto viver a Reconciliação e a Reparação, em ligação com a mensagem de Maria em La Salette, em uma vida de comunidade onde prima o espírito de família"" [T] [3]",3,"""Elas {as primeiras irmãs} tinham no coração somente o mesmo desejo: aquele de consagrar suas vidas à Deus. A maior parte delas também haviam sentido de perto a imensa desolação moral e religiosa da família operária, em particular das mulheres e das jovens obrigadas à ganhar a vida em um ambiente de trabalho onde estavam expostas à toda sorte de perigo, crianças criadas em escolas sem Deus e vagando pelas ruas quando não estavam nas escolas."" [T] [4]",4,"""Missão específica: Evangelização das famílias dos meios populares e em direção de preferência aos mais desfavorecidos materialmente, humanamente, espiritualmente"" [T][5]",5,N/E,N/E,N/E,N/E,,N/I,N/I,0,N/E,N/E
594,https://es.wikipedia.org/wiki/Orden_basiliana_del_Sant%C3%ADsimo_Salvador [1],N/E,Ordem BASILIANA DO SANTÍSSIMO SALVADOR DOS MELQUITAS,Basilianos Salvatorianos (pop.),[BS],N,1,N/E,M,N/E,N/E,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,Metropolita Eutimio Sayfi,1,1717 {DP},1,N/E,N/E,DP,CLE,1684,1,Líbano,Líbano-Sul,Sidon,1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11,1,"EUA, Síria, Líbano",3,1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,95,1,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,"""A Ordem foi fundada pelo metropolita de Tiro e Sidon, Eutimio Sayfi, na cidade de Sidon, Líbano, em 1684, com o ideal de restabelecer a comunhão dos antigos monastérios basilianos, que se encontravam em comunhão com a Igreja Melquita e que mais tarde passariam à comunhão com a Igreja de Roma."" [T][1]",1,"""Os salvatorianos se dedicam às missões populares, especialmente entre os membros da Igreja Greco-Católica Melquita no Líbano e na Síria. Também têm abertas outras missões em outras partes do mundo, para a atenção dos migrantes libaneses de rito bizantino."" [T][1]",1,N/E,N/E,N/E,N/E,> Esta congregação é de rito Melquita; Não há muitas fontes disponíveis sobre suas atividades no Brasil. O AC 2015 tem dela apenas o nome registrado.,N/I,N/I,0,N/E,N/E
604,"http://www.sacerdotesoperarios.org/ [1]

http://www.rogacionistas.org.br/mensagens.php?id_mensagem=61 [2]

https://it.wikipedia.org/wiki/Fraternit%C3%A0_dei_sacerdoti_operai_diocesani_del_Sacro_Cuore_di_Ges%C3%B9 [3]

http://www.sacerdotesoperarios.org/la-hermandad/historia/ [4]

http://www.sacerdotesoperarios.org/la-hermandad/donde-estamos/ [5]

http://www.vicariatusurbis.org/?page_id=188&ID=3005 [6]",,Fraternidade dos Padres Operários DIOCESANOS DO CORAÇÃO DE JESUS,Padres Operários Diocesanos,[DCJ],N,1,1,M,N/E,N/E,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Beato Pe. Manuel Domingo y Sol/Mosén Sol ,4,2008 {DP},4,N/E,N/E,DP,CLE,1883,4,Espanha,Catalunha,Tortosa,3,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,TO,1,5,N/E,N/E,"Alemanha, Angola, Argentina, Brasil, Cuba, Espanha, EUA, Itália, México, Peru, Portugal, Rep. Dem. do Congo, Venezuela",13,5,4,4,0,0,0,AC 2015,N/E,250,3,,,,AMB,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,"""A Fraternidade dos Padres Operários Diocesanos do Sagrado Coração de Jesus, fundado em Tortosa, Espanha, em 1883, pelo Bem-aventurado Manuel Domingo e Sol, tem por carisma despertar, discernir, promover e acompanhar todas as vocações, especialmente a vocação presbiteral e aquelas para a vida consagrada. Os Operários Diocesanos são chamados a trabalhar no acompanhamento e na formação dos jovens."" [2]",2,"""Os objetivos que a Fraternidade desenvolve desde sua origem são: O Fomento, sustento e cuidado das vocações eclesiásticas, religiosas e apostólicas. A formação cristã da juventude. O Incremento do espírito de reparação e da devoção ao Coração de Jesus, especialmente na Eucaristia."" [4]",4,"""Os objetivos que a Fraternidade desenvolve desde sua origem são: O Fomento, sustento e cuidado das vocações eclesiásticas, religiosas e apostólicas. A formação cristã da juventude. O Incremento do espírito de reparação e da devoção ao Coração de Jesus, especialmente na Eucaristia."" [4]",4,N/E,N/E,A fonte {5} indica que esta congregação trabalha no Seminário Interdiocesano do Divino Espírito Santo em Palmas/TO,N/E,,São Bernardo do Campo,SP,0,0.00%,0.00%
125,"http://resources.huygens.knaw.nl/zendingoverzeesekerken/RepertoriumVanNederlandseZendings-EnMissie-archieven1800-1960/gids/organisatie/1339892780 [1]

https://nl.wikipedia.org/wiki/Eucharistische_Kruistocht [2]",N/E,Sociedade das Catequistas da Cruzada Eucarística,N/A,N/A,N,0,0,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,1928,1,Holanda,Brabante do Norte,Breda,1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/A,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
134,"http://www.suoredicristo.it/la-nostra-storia/ [1]

https://fr.wikipedia.org/wiki/S%C5%93urs_du_Christ#cite_note-10 [2]",N/E,Irmãs da Cruz,N/A,N/A,N,0,0,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,1685,2,França,Occitânia,Lavaur,2,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/A,N/E,N/I,N/A,N/E,N/E,N/A,N/A,N/A,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/A,-,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
140,"http://crbnacional.org.br/acervo/1963/04_1963(%20n%2094).ocr.pdf [1]

http://www.devoorzienigheid.nl/wie-zijn-wij/geschiedenis [2]

https://books.google.com.br/books?id=SLKF3FiKpRMC&pg=PA1&lpg=PA1#v=onepage&q&f=false [3]

http://www.erfgoedkloosterleven.nl/zoeken/collecties-zoeken.php?miview=ldt&mivast=1212&mizig=212&miadt=1212&miaet=14&micode=DOC-MON&minr=734564 [4]",N/E,Congregação das Pobres Irmãs do Divino Infante,N/A,N/A,N,1,0,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,1853,2,Holanda,Holanda do Norte,Amsterdam,2,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/A,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
145,"http://resources.huygens.knaw.nl/zendingoverzeesekerken/RepertoriumVanNederlandseZendings-EnMissie-archieven1800-1960/gids/organisatie/2790689856 [1]

http://www.dominicanessenvanneerbosch.nl/index.html [2]

http://www.dominicanessenvanneerbosch.nl/geschiedenis/ontstaan-verder.html [3]",N/E,Irmãs Dominicanas da Sagrada Família,Dominicanas de Neerbosch (pop.),N/A,N,1,0,F,N/E,N/E,1.00,0.00,N/E,N/E,1.00,0.00,N/E,N/E,Pe. Dominicus van Zeeland,1,N/E,N/E,N/E,N/E,N/E,VM,1848,1,Holanda,Gelderland,Neerbosch,1,1965,3,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/A,N/E,N/I,N/E,N/E,N/E,N/E,N/E,"Holanda, Indonésia",2,2,N/A,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
150,"http://irmasoblatasdocenaculo.blogspot.com.br/p/quem-somos.html [1]

http://www.diadema.sp.gov.br/noticias/20256-diadema-revitaliza-centro-de-memorias [2]

http://web.tiscali.it/oss/ [3]

http://www.al.es.gov.br/antigo_portal_ales/images/documento_spl/31365.pdf [4]

http://www.obradocenaculo.org/site/index.php/obra-do-cenaculo/cenaculos/ [5]

http://www.crbnacional.org.br/acervo/1959/06_1959(%20n%2048).ocr.pdf [6]",N/E,Irmãs Oblatas do Espírito Santo,N/A,N/A,N,1,0,F,N/E,N/E,0.00,1.00,N/E,N/E,0.00,1.00,N/E,N/E,Me. Elena Guerra,3,N/E,N/E,N/E,N/E,N/E,VM,1882,3,Itália,Toscana,Lucca,3,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/A,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
152,"http://data.bnf.fr/13545884/franciscaines_de_la_petite_famille_du_sacre-coeur_de_jesus_d_ales/ [1]

https://fr.wikipedia.org/wiki/Sœurs_de_Saint_François_d%27Assise [2]

http://www.franciscanasscj.com.br/nossahistoria.html [3]",N/E,Religiosas Franciscanas,N/A,N/A,N,1,S,F,N/E,N/E,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Abade Bunel / Me. François du Sacre-Coeur,1,N/E,N/E,N/E,N/E,N/E,N/E,1864,1,França,Occitânia,Alès,1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/A,N/E,N/I,N/A,N/A,N/A,N/E,N/E,N/E,0,2,N/A,N/E,N/E,N/E,N/E,N/A,N/E,N/A,N/A,N/A,0,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/A,N/A,0,N/E,N/E
158,"http://www.igsm.edu.ar/la_congregacion.asp [1]

http://www.delespiritusanto.edu.ar/pagina-ejemplo/ [2]

http://www.htfc.org.ar/historia.html [3]

http://www.htfc.org.ar/comunidades.html [4]",N/E,Irmãs Terceiras Franciscanas da Caridade,N/A,N/A,N,1,N/E,F,N/E,N/E,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,Me. Mercedes del Niño Jesus,3,"1880 {DD}
1925 {DP}",3,N/E,N/E,DP,VM,1880,1,Argentina,Buenos Aires,Buenos Aires,1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/A,N/E,N/I,N/E,N/E,N/E,10,4,Argentina,1,4,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,1,0,EL,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,"""Las que suscribimos, todas argentinas, desde hace mucho tiempo, habíamos concebido la creación de un centro no menos católico que humanitario, destinado a la caritativa y gratuita asistencia de los enfermos a domicilio, sin distinción de condiciones sociales ni religiosas.
Para llevar a cabo nuestros deseos, necesitábamos la bendición y autorización de la Autoridad Eclesiástica ordinaria, y la obtuvimos sin dificultad del muy ilustre Prelado de Buenos Aires."" [3]",3,N/E,N/E,N/E,N/E,Basicamente Colégios. Há um asilo. [3] ,3,,N/E,N/E,0,N/E,N/E
191,http://www2.camara.sp.gov.br/projetos/1950/00/00/08/YI/000008YI4.PDF [1],N/E,Irmãs Educadoras Enfermeiras de Maria Auxiliadora,N/A,N/A,N,N/E,N/E,F,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,VM,1872,?,Itália,Piemonte,Mornese,?,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/A,N/E,N/I,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/A,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,,N/E,N/E,0,N/E,N/E
